score_id	set_id	difficulty	tags
6583477	5106766	1	american,art-song,classical,female-composer,late-romantic,romantic,piano
6583512	5106766	1	american,art-song,classical,female-composer,late-romantic,romantic,piano
6583907	5106769	1	art-song,british,classical,classical-period,female-composer,piano
6583966	5106769	2	art-song,british,classical,classical-period,female-composer,sacred,piano
6211535	5103566	1	art-song,british,classical,late-romantic,romantic,sea-and-water,song-cycle,piano
6211549	5103566	2	art-song,british,classical,late-romantic,romantic,song-cycle,travel,piano
6211555	5103566	2	art-song,british,classical,late-romantic,night,romantic,song-cycle,piano
6211559	5103566	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6211561	5103566	2	art-song,british,classical,late-romantic,romantic,seasons,song-cycle,piano
6623221	5106882	2	art-song,british,classical,female-composer,mourning,romantic,piano
6623145	5106882	1	art-song,british,classical,female-composer,romantic,piano
6622814	5106882	1	art-song,british,classical,female-composer,romantic,piano
6585571	5106882	1	art-song,british,classical,female-composer,romantic,piano
6586675	5106882	2	art-song,british,classical,female-composer,romantic,sea-and-water,piano
6478624	5105982	2	art-song,british,classical,romantic,piano
6479829	5105982	1	art-song,british,classical,romantic,piano
6586696	5106884	2	art-song,british,classical,female-composer,late-romantic,love,romantic,piano
6212179	5103537	3	american,art-song,classical,female-composer,late-romantic,romantic,seasons,song-cycle,piano
6212193	5103537	3	american,art-song,classical,female-composer,late-romantic,love,romantic,song-cycle,piano
6212196	5103537	2	american,art-song,classical,female-composer,late-romantic,love,romantic,song-cycle,piano
6564424	5106666	1	american,art-song,classical,female-composer,late-romantic,romantic,song-cycle,piano
6564767	5106666	1	american,art-song,classical,female-composer,late-romantic,romantic,song-cycle,piano
6564816	5106666	1	american,art-song,classical,female-composer,late-romantic,lullaby,romantic,song-cycle,piano
6245971	5103538	1	american,art-song,classical,female-composer,late-romantic,romantic,song-cycle,piano
6245972	5103538	1	american,art-song,classical,female-composer,late-romantic,romantic,song-cycle,piano
6245973	5103538	2	american,art-song,classical,female-composer,late-romantic,romantic,song-cycle,piano
6245974	5103538	2	american,art-song,birds,classical,female-composer,late-romantic,romantic,song-cycle,piano
5115311	5032884	1	art-song,classical,classical-period,german,song-cycle,piano
4946378	5032884	1	art-song,classical,classical-period,german,love,song-cycle,piano
5115550	5032884	1	art-song,classical,classical-period,german,song-cycle,piano
5121134	5032884	1	art-song,classical,classical-period,german,song-cycle,piano
5121692	5032884	1	art-song,classical,classical-period,german,song-cycle,piano
5125008	5032884	2	art-song,classical,classical-period,german,song-cycle,piano
6488630	5106092	2	art-song,classical,classical-period,german,song-cycle,travel,piano
6491340	5106092	2	art-song,classical,classical-period,german,song-cycle,piano
6491353	5106092	1	art-song,classical,classical-period,german,song-cycle,piano
6491377	5106092	1	art-song,classical,classical-period,german,song-cycle,piano
6491411	5106092	2	art-song,classical,classical-period,german,mourning,song-cycle,piano
6491431	5106092	2	art-song,classical,classical-period,german,song-cycle,piano
6491461	5106092	1	art-song,classical,classical-period,german,song-cycle,piano
6491478	5106092	1	art-song,classical,classical-period,german,song-cycle,piano
6592481	5106889	2	art-song,british,classical,classical-period,female-composer,piano
6486038	5105780	2	art-song,british,classical,classical-period,piano
6446003	5105780	3	art-song,british,classical,classical-period,piano
6877413	5079544	3	art-song,classical,french,romantic,song-cycle,piano
6877530	5079544	2	art-song,classical,french,romantic,song-cycle,piano
6877589	5079544	2	art-song,classical,french,romantic,song-cycle,piano
