raw_name	canonical_name
J. S. Bach	Johann Sebastian Bach
J.S. Bach	Johann Sebastian Bach
J.S.Bach	Johann Sebastian Bach
W. A. Mozart	Wolfgang Amadeus Mozart
W.A. Mozart	Wolfgang Amadeus Mozart
Mozart	Wolfgang Amadeus Mozart
W. A. Mozart (1756-1791)	Wolfgang Amadeus Mozart
L. van Beethoven	Ludwig van Beethoven
Beethoven	Ludwig van Beethoven
L.V. Beethoven	Ludwig van Beethoven
L.V.Beethoven	Ludwig van Beethoven
L V Bethoven	Ludwig van Beethoven
Ludvig van Beethoven	Ludwig van Beethoven
Ludwing van Bethoven	Ludwig van Beethoven
G. F. Handel	George Frideric Handel
G.F. Handel	George Frideric Handel
George Frideric Händel	George Frideric Handel
Georg Friedrich Händel	George Frideric Handel
Handel	George Frideric Handel
Frederic Chopin	Frédéric Chopin
Frédérick Chopin	Frédéric Chopin
Frederick Chopin	Frédéric Chopin
F. Chopin	Frédéric Chopin
Claude-Achille Debussy	Claude Debussy
C.Debussy	Claude Debussy
CL.A.DEBUSSY	Claude Debussy
Debussy	Claude Debussy
Eric Satie	Erik Satie
Felix Mendelssohn-Bartholdy	Felix Mendelssohn
Felix Mendelssohn Bartholdy	Felix Mendelssohn
FelixMendelssohn-Bartholdy	Felix Mendelssohn
Sir Arthur Sullivan	Arthur Sullivan
Arthur S. Sullivan	Arthur Sullivan
Franz Joseph Haydn	Joseph Haydn
J. Haydn	Joseph Haydn
by Scott Joplin	Scott Joplin
Clara Schumann	Clara Wieck
Clara Wieck-Schumann	Clara Wieck
J. Brahms	Johannes Brahms
Tchaikovsky	Pyotr Ilyich Tchaikovsky
Peter Tchaikovsky	Pyotr Ilyich Tchaikovsky
Antonio Lucio Vivaldi	Antonio Vivaldi
C.Czerny	Carl Czerny
Béla BartókRevised and Arrangedby the Composer January 1945	Béla Bartók
Bartók Béla Sz. 107	Béla Bartók
Neil Gow	Niel Gow
Carolan	Turlough O'Carolan
O'Carolan	Turlough O'Carolan
Turlough O'Carolan (1670-1738)	Turlough O'Carolan
anon.	
Trad.	
Trad	
Traditional	
Tradicional	
traditionell	
Composer	
Unattributed	
