canonical_name	wikidata	born	died	wikipedia
Alexander Scriabin	Q185647	1872	1915	https://en.wikipedia.org/wiki/Alexander_Scriabin
Antonio Vivaldi	Q1340	1678	1741	https://en.wikipedia.org/wiki/Antonio_Vivaldi
Arcangelo Corelli	Q164475	1653	1713	https://en.wikipedia.org/wiki/Arcangelo_Corelli
Béla Bartók	Q83326	1881	1945	https://en.wikipedia.org/wiki/B%C3%A9la_Bart%C3%B3k
Carl Czerny	Q215333	1791	1857	https://en.wikipedia.org/wiki/Carl_Czerny
Domenico Scarlatti	Q167837	1685	1757	https://en.wikipedia.org/wiki/Domenico_Scarlatti
Edvard Grieg	Q80621	1843	1907	https://en.wikipedia.org/wiki/Edvard_Grieg
Francis Cutting	Q3404004	c. 1550	1595/1596	https://en.wikipedia.org/wiki/Francis_Cutting
Francisco Tárrega	Q313372	1852	1909	https://en.wikipedia.org/wiki/Francisco_T%C3%A1rrega
Franz Liszt	Q41309	1811	1886	https://en.wikipedia.org/wiki/Franz_Liszt
Frédéric Chopin	Q1268	1810	1849	https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin
George Frideric Handel	Q7302	1685	1759	https://en.wikipedia.org/wiki/George_Frideric_Handel
Giacomo Puccini	Q7311	1858	1924	https://en.wikipedia.org/wiki/Giacomo_Puccini
Gioachino Rossini	Q9726	1792	1868	https://en.wikipedia.org/wiki/Gioachino_Rossini
Giuseppe Verdi	Q7317	1813	1901	https://en.wikipedia.org/wiki/Giuseppe_Verdi
Gustav Holst	Q200867	1874	1934	https://en.wikipedia.org/wiki/Gustav_Holst
Heinrich Wilhelm Ernst	Q528748	1812	1865	https://en.wikipedia.org/wiki/Heinrich_Wilhelm_Ernst
Henry Lemoine	Q1606982	1786	1854	https://en.wikipedia.org/wiki/Henry_Lemoine
Henry Purcell	Q9695	1659	1695	https://en.wikipedia.org/wiki/Henry_Purcell
Isaac Albéniz	Q185812	1860	1909	https://en.wikipedia.org/wiki/Isaac_Alb%C3%A9niz
Jean-Baptiste Duvernoy	Q554437	1801	1880	https://en.wikipedia.org/wiki/Jean-Baptiste_Duvernoy
Jean-Philippe Rameau	Q1145	1683	1764	https://en.wikipedia.org/wiki/Jean-Philippe_Rameau
Johann Pachelbel	Q76485	1653	1706	https://en.wikipedia.org/wiki/Johann_Pachelbel
Johann Sebastian Bach	Q1339	1685	1750	https://en.wikipedia.org/wiki/Johann_Sebastian_Bach
John Dowland	Q207355	1563	1626	https://en.wikipedia.org/wiki/John_Dowland
Joseph Küffner	Q106000	1776	1856	https://en.wikipedia.org/wiki/Joseph_K%C3%BCffner
Luigi Legnani	Q1876212	1790	1877	https://en.wikipedia.org/wiki/Luigi_Legnani
Matteo Carcassi	Q469912	1796	1853	https://en.wikipedia.org/wiki/Matteo_Carcassi
Maurice Ravel	Q1178	1875	1937	https://en.wikipedia.org/wiki/Maurice_Ravel
Niccolò Paganini	Q66075	1782	1840	https://en.wikipedia.org/wiki/Niccol%C3%B2_Paganini
Pyotr Ilyich Tchaikovsky	Q7315	1840	1893	https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky
Sergei Rachmaninoff	Q131861	1873	1943	https://en.wikipedia.org/wiki/Sergei_Rachmaninoff
Turlough O'Carolan	Q335838	1670	1738	https://en.wikipedia.org/wiki/Turlough_O%27Carolan
Wolfgang Amadeus Mozart	Q254	1756	1791	https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart
